datelastmodified,scientificname,catalognumber,country,stateprovince,county,locality,latitude_final,longitude_final
2019-02-22T14:45:40Z,Mimosa lewisii,84027,Brasil,Pernambuco,Buíque,Parque Nacional do Catimbau,-8.569167,-37.235556
2019-02-22T14:45:40Z,Mimosa lewisii,84053,Brasil,Pernambuco,Buíque,Parque Nacional do Catimbau,-8.4,-37.158333
2020-03-02T12:10:57Z,Mimosa lewisii,17401,Brasil,Pernambuco,Buíque,Serra do Catimbau,-8.616667,-37.166667
2020-03-02T12:10:57Z,Mimosa lewisii,22724,Brasil,Pernambuco,Buíque,Fazenda Laranjeiras,-8.625,-37.154167
2020-06-09T19:54:27Z,Mimosa lewisii,24058,Brasil,Bahia,Lençóis,"Próximo ao Rio São José, ao longo da rodovia para a cidade, km 11",-12.5575,-41.3875
2020-06-12T20:27:34Z,Mimosa lewisii,31210,Brasil,Bahia,Lençóis,"Próximo ao Rio São José, ao longo da rodovia para a cidade, km 10",-12.5575,-41.383333
2020-03-02T12:10:57Z,Mimosa lewisii,37717,Brasil,Bahia,Canudos,Toca Velha. Estação Biológica de Canudos (Sede de biodiversitas),-10.032778,-39.15
2020-12-01T17:20:56Z,Mimosa lewisii,10740,Brasil,Pernambuco,Tacaratu,"Estrada para a Serra do Morcego, Baixa do Lério",-9.076055,-38.142805
2020-12-01T17:20:56Z,Mimosa lewisii,6697,Brasil,Pernambuco,Tacaratu,"Saco do Romão, caminho para tribo indígena Pankararus",-9.115944,-38.180694
2014-06-04T16:00:00Z,Mimosa lewisii,100711286,Brazil,Bahia,Morro do Chapéu,"Estrada para Jacobina, cerca de 7 km de Morro do Chapéu.",-11.4975,-41.1191667
2019-08-15T12:03:03Z,Mimosa lewisii,7746,Brasil,Bahia,Santa Brígida,NA,-9.483333,-38.2
2019-11-27T16:48:57Z,Mimosa lewisii,14810,Brasil,Pernambuco,Buíque,Parque Nacional de Catimbau,-8.614225,-37.160825
2019-11-27T16:48:57Z,Mimosa lewisii,3977,Brasil,Bahia,Paulo Afonso,NA,-9.683611,-38.363056
2020-05-08T14:10:42Z,Mimosa lewisii,103499,Brasil,Bahia,Paulo Afonso,Estação Ecológica do Raso Da Catarina,-9.661667,-38.467222
2020-05-08T14:10:42Z,Mimosa lewisii,106814,Brasil,Bahia,Morro do Chapéu,"ca. 3,0 Km E de Morro do Chapéu na estrada para Ipirá.",-11.540278,-41.185278
2020-05-08T14:10:42Z,Mimosa lewisii,110949,Brasil,Bahia,Paulo Afonso,Estação Ecológica Raso da Catarina. Paus-pretos.,-9.6825,-38.585556
2020-05-08T14:10:42Z,Mimosa lewisii,122539,Brasil,Pernambuco,Buíque,Trilha dos Torres. Parque Nacional Serra do Catibau. Sítio Pititi.,-8.575833,-37.245833
2020-05-08T14:10:42Z,Mimosa lewisii,128425,Brasil,Bahia,Morro do Chapéu,"ca. 5,0 Km da entrada da Fazenda Guariba.",-11.410556,-41.220556
2020-05-08T14:10:42Z,Mimosa lewisii,131356,Brasil,Bahia,Morro do Chapéu,Lajedo Bordado,-11.258333,-41.094722
2020-05-08T14:10:42Z,Mimosa lewisii,137650,Brasil,Pernambuco,Buíque,"Vale do Catimbau, Paraíso Selvagem, propriedade do Sr. Jurandir, na subida para o alto do lajeiro.",-8.583333,-37.234444
2020-05-08T14:10:42Z,Mimosa lewisii,13876,Brasil,Bahia,Morro do Chapéu,NA,-11.6,-41.05
2020-05-08T14:10:42Z,Mimosa lewisii,15371,Brasil,Bahia,Itapicuru,NA,-11.316667,-38.1
2020-05-08T14:10:42Z,Mimosa lewisii,156752,Brasil,Bahia,Tucano,"Boqueirão. Afloramento de arenito na beira da estrada, antes do prédio escolar.",-10.95,-38.716667
2020-05-08T14:10:42Z,Mimosa lewisii,156983,Brasil,Bahia,Jeremoabo,Baixa dos Quelés.,-9.966667,-38.437778
2020-05-08T14:10:42Z,Mimosa lewisii,157149,Brasil,Bahia,Jeremoabo,Muro.,-10.195833,-38.301111
2020-05-08T14:10:42Z,Mimosa lewisii,164060,Brasil,Bahia,NA,"3,5 km Morro do Chapéu - Salvador. Beira da estrada em dique acima das lages de arenito.",-11.683333,-40.016667
2020-05-08T14:10:42Z,Mimosa lewisii,168794,Brasil,Bahia,Jeremoabo,"Comunidade Baixa dos Quelés, Saco do Felipe, ca. 23 km de Jeremoabo, 351 km de Slavador.",-9.966667,-38.433333
2020-05-08T14:10:42Z,Mimosa lewisii,169752,Brasil,Bahia,Tucano,Quererá. Caatinga arbustiva sob solo arenoso (Próximo à torre de telecomunicações).,-11.145,-38.84
2020-05-08T14:10:42Z,Mimosa lewisii,178616,Brasil,Bahia,Mata de São João,Linha Verde.,-12.5,-37.983333
2020-05-08T14:10:42Z,Mimosa lewisii,180521,Brasil,Bahia,Mata de São João,Imbassaí (loteamento do Mirante).,-13.237222,-38.978333
2020-05-08T14:10:42Z,Mimosa lewisii,18829,Brasil,Bahia,Salvador,"Dunas de Itapoã, próximo ao loteamento Alamedas da Praia, a ca. 30 km N do Centro de Salvador.",-12.916667,-38.016667
2020-05-08T14:10:42Z,Mimosa lewisii,189383,Brasil,Bahia,Salvador,Dunas do Abaeté.,-12.944444,-38.356944
2020-05-08T14:10:42Z,Mimosa lewisii,190956,Brasil,Bahia,Lençóis,Área de garimpo às margens do Rio São José.,-12.576667,-41.3825
2020-05-08T14:10:42Z,Mimosa lewisii,190983,Brasil,Bahia,Lençóis,Área de garimpo às margens do Rio São José.,-12.573889,-41.382222
2020-05-08T14:10:42Z,Mimosa lewisii,193568,Brasil,Bahia,Lençóis,"Mucugezinho, próximo à Toca dos Patos na margem do Rio Mucugezinho.",-12.457222,-41.416667
2020-05-08T14:10:42Z,Mimosa lewisii,205332,Brazil,Bahia,Bom Jesus da Lapa,Área TreeAtlan BAbjes,-13.106944,-43.175556
2020-05-08T14:10:42Z,Mimosa lewisii,205371,Brazil,Bahia,Palmeiras,Estrada de Palmeiras para Serra Negra. Área TreeAtlan BAplmc,-12.554444,-41.605278
2020-05-08T14:10:43Z,Mimosa lewisii,206310,Brasil,Bahia,Mata de São João,Restinga. Área ensolarada.,-12.5303001403809,-38.2991981506348
2020-05-08T14:10:43Z,Mimosa lewisii,207442,Brasil,Bahia,Barra da Estiva,"Povoado de Camulengo, estrada de chão sentindo pinturas rupestres.",-13.55,-41.166667
2020-05-08T14:10:42Z,Mimosa lewisii,20789,Brasil,Bahia,Lençóis,Serra da Chapadinha.,-12.216667,-41.433333
2020-05-08T14:10:43Z,Mimosa lewisii,216752,Brasil,Bahia,Mucugê,Alto do rio Paraguaçu.,-12.992222,-41.390278
2020-05-08T14:10:43Z,Mimosa lewisii,236836,Brasil,Pernambuco,Tacaratu,"Serra de Tacaratu, Parque Eólico Pedra do Gerônimo, próximo as torres 01 a 06.",-9.033333,0
2020-05-08T14:10:43Z,Mimosa lewisii,236901,Brasil,Pernambuco,Tacaratu,Serra do Cruzeiro. Cerrado. Solo arenoso.,-9.116667,0
2020-05-08T14:10:42Z,Mimosa lewisii,6240,Brasil,Bahia,Santa Brígida,NA,-9.333333,-38.483333
2020-05-08T14:10:42Z,Mimosa lewisii,67779,Brasil,Bahia,Banzae,"Área indígina Kiriri, local Baixa da Cangalha.",-10.669167,-38.666944
2020-05-08T14:10:42Z,Mimosa lewisii,72883,Brasil,Bahia,Canudos,Biodiversitas - Base II,-9.943889,-39.014722
2020-05-08T14:10:42Z,Mimosa lewisii,73412,Brasil,Bahia,Canudos,Estação Biológica de Canudos,-10.016667,-39.15
2020-05-08T14:10:42Z,Mimosa lewisii,77277,Brasil,Pernambuco,Buíque,Serra de Jerusalém.,-8.5825,-37.239444
2020-05-08T14:10:42Z,Mimosa lewisii,77291,Brasil,Pernambuco,Buíque,Serra do Catimbau,-8.553056,-37.214167
2020-05-08T14:10:42Z,Mimosa lewisii,7905,Brasil,Bahia,Camaçari,NA,-12.733333,-38.15
2020-05-08T14:10:42Z,Mimosa lewisii,84389,Brasil,Bahia,Canudos,Estação Biológica de Canudos / Fundação Biodiversitos - Base II.,-9.944722,-39.017778
2020-05-08T14:10:42Z,Mimosa lewisii,91362,Brasil,Bahia,Morro do Chapéu,"Taboleiro dos Tigres, cerca de 5 km ao sul de Morro do Chapéu ma estrada para Utinga.",-11.613056,-41.162778
2020-05-08T14:10:42Z,Mimosa lewisii,91856,Brasil,Bahia,Lençóis,Rio Lençóis.,-12.561667,-41.405
